user_id,year_of_birth,gender,region,living_standards_measure,highest_education,employment,internet_access,cable_tv_subscription,survey_completion,survey_participation_consent,bank_account,bank,last_interaction_with_bank,likelihood_to_recommend,comment_on_why,themes,start_time(GMT),time_of_last_update(GMT)
358646,1991,Prefer not to answer,NA,NA,NA,Student,Yes,No,TIMEDOUT,-,-,-,-,-,-,,18:34.6,00:09.9
18003003,1984,Female,coast,5 to 8,Completed Secondary,Student,Yes,Yes,FINISHED,YES,Yes,KCB,Teller or Branch transactions,5,Safrcom don''t allow 1 person to Bank more than five at the same time,speed/efficiency,00:02.9,16:14.6
5618870,1994,Male,riftvalley,5 to 8,Completed College,Student,Yes,No,FINISHED,YES,Yes,National Bank,Mobile banking,10,They offer good services,service,00:03.0,05:11.0
2951848,1995,Female,riftvalley,NA,NA,Other/Unemployed,Yes,NA,TIMEDOUT,-,-,-,-,-,-,,00:03.0,00:09.1
17386348,1999,Male,coast,9 to 12,In Uni,Student,Yes,Yes,FINISHED,YES,Yes,Equity,Teller or Branch transactions,7,Transaction cost are affordable,"account,rates/charges",00:03.0,03:13.8
2888859,1997,Male,central,9 to 12,Completed College,Student,Yes,No,FINISHED,YES,Yes,Co-operative,Teller or Branch transactions,7,Good service but long queues,"service,speed/efficiency",00:03.0,54:01.2
18003120,1974,Female,riftvalley,13 to 17,Completed College,Skilled worker,Yes,No,TIMEDOUT,-,-,-,-,-,-,,00:03.1,00:09.3
2274344,1991,Male,eastern,9 to 12,Completed University,Street or Market Seller,Yes,No,FINISHED,YES,Yes,KCB,Mobile banking,8,Convinient,accessibility,00:03.1,27:58.0
2273177,1996,Female,nyanza,9 to 12,Some University,Skilled worker,Yes,No,FINISHED,YES,Yes,Diamond Trust Bank,ATM,8,They attend customers very fast,"service,speed/efficiency",00:03.1,40:37.7
17774579,1996,Female,riftvalley,5 to 8,In College,Student,Yes,No,FINISHED,YES,Yes,Equity,Customer service desk/ enquiries,8,Services are okay,service,00:03.1,34:21.6
5748358,1993,Male,western,13 to 17,Completed Secondary,Street or Market Seller,No,Yes,FINISHED,YES,Yes,Equity,Mobile banking,10,Because is the highly and likely recommend,,00:03.1,39:16.8
18002059,1997,Female,nyanza,9 to 12,In College,Student,Yes,No,FINISHED,YES,Yes,Co-operative,Teller or Branch transactions,10,I was served well and quick,"service,speed/efficiency",00:03.3,03:58.6
18001852,1997,Female,eastern,9 to 12,Completed College,Other/Unemployed,No,Yes,TIMEDOUT,-,-,-,-,-,-,,00:03.4,00:09.1
18002594,1993,Male,nairobi,1 to 4,Completed Secondary,Other/Unemployed,No,No,FINISHED,YES,No,-,-,-,-,,00:03.4,03:48.9
2296678,1996,Female,riftvalley,9 to 12,Completed College,Other/Unemployed,Yes,Yes,FINISHED,YES,Yes,Equity,Bank agent/ agency banking,10,Equity agents easily available..,staff,00:03.4,58:00.1
17386389,1998,Male,nyanza,9 to 12,Completed Secondary,Other/Unemployed,Yes,No,FINISHED,YES,Yes,Equity,Mobile banking,10,Equity does not charge expensively for its services,service,00:03.4,32:03.2
18002815,1988,Male,riftvalley,1 to 4,Completed Secondary,Other/Unemployed,No,No,TIMEDOUT,-,-,-,-,-,-,,00:03.4,00:09.2
2303433,1994,Female,coast,9 to 12,Completed College,Own Business,Yes,Yes,FINISHED,YES,Yes,KCB,ATM,7,Customer friendly,"service,staff",00:03.5,32:41.4
5580613,1997,Female,riftvalley,5 to 8,Completed College,Student,No,No,TIMEDOUT,-,-,-,-,-,-,,00:03.5,00:09.4
17405821,1998,Female,NA,NA,Completed Secondary,Own my own company,No,No,TIMEDOUT,-,-,-,-,-,-,,00:03.5,00:09.4
2889047,1996,Female,riftvalley,NA,NA,Other/Unemployed,Yes,NA,TIMEDOUT,-,-,-,-,-,-,,00:03.5,00:09.2
2909192,1995,Male,riftvalley,5 to 8,None,Other/Unemployed,Yes,No,FINISHED,YES,Yes,Equity,Teller or Branch transactions,10,Care,,00:03.7,02:05.3
17389712,1995,Male,NA,NA,NA,Other/Unemployed,Yes,Yes,FINISHED,YES,Yes,Equity,Mobile banking,10,It was very fast and convenient,"accessibility,speed/efficiency",00:03.7,04:20.7
2279544,1995,Female,coast,NA,NA,Other/Unemployed,NA,NA,FINISHED,YES,Yes,Co-operative,Mobile banking,10,They are efficient and have great customer service,"service,speed/efficiency",00:03.7,22:14.6
2939482,1989,Male,riftvalley,13 to 17,Completed PostGrad,Skilled worker,Yes,Yes,TIMEDOUT,-,-,-,-,-,-,,00:03.8,00:09.4
18001948,1999,Female,NA,5 to 8,In Uni,Student,No,No,FINISHED,YES,Yes,Equity,Mobile banking,10,Easy to access my account and excellent service through mobile banking,"accessibility,account,mobile_banking,service,speed/efficiency",00:03.8,50:02.5
2927228,1993,Male,nairobi,9 to 12,Completed University,Other/Unemployed,Yes,No,TIMEDOUT,-,-,-,-,-,-,,00:03.8,00:09.4
5613260,1996,Male,central,9 to 12,In Uni,Student,Yes,No,FINISHED,YES,Yes,Equity,Internet banking,7,Good.,,00:03.8,07:34.3
17386812,1997,Female,NA,1 to 4,Some Primary,Student,No,No,TIMEDOUT,-,-,-,-,-,-,,00:03.8,00:09.4
2917531,1995,Male,nairobi,13 to 17,Completed Uni,Own my own company,Yes,No,FINISHED,YES,Yes,KCB,Mobile banking,7,Fast and convenient,"accessibility,speed/efficiency",00:03.8,59:26.4
2916967,1995,Male,eastern,9 to 12,Completed College,Student,Yes,No,FINISHED,YES,No,-,-,-,-,,00:03.9,02:55.3
5578837,1993,Female,riftvalley,13 to 17,Completed University,Farm owner,Yes,No,FINISHED,YES,Yes,Co-operative,Mobile banking,8,The services are quick and efficient,"service,speed/efficiency",00:04.0,06:34.9
1466851,1998,Male,riftvalley,13 to 17,In Uni,Other/Unemployed,Yes,No,FINISHED,YES,Yes,KCB,Teller or Branch transactions,2,Slow service,"service,speed/efficiency",00:04.0,54:17.8
17402318,1996,Male,central,13 to 17,In College,Skilled worker,Yes,No,FINISHED,YES,Yes,KCB,Mobile banking,8,they serve people with good heart,service,00:04.1,46:24.7
17398519,1999,Female,riftvalley,9 to 12,In Uni,Student,Yes,Yes,TIMEDOUT,-,-,-,-,-,-,,00:04.1,00:09.4
2265308,1994,Male,nyanza,9 to 12,Some University,Other/Unemployed,Yes,No,FINISHED,YES,Yes,Co-operative,Teller or Branch transactions,4,Average,,00:04.2,51:39.6
18002135,1993,Male,nairobi,9 to 12,In Uni,Student,Yes,No,FINISHED,YES,Yes,Equity,ATM,9,waiting time is short,speed/efficiency,00:04.2,03:33.0
2929528,1998,Female,eastern,9 to 12,Some University,Other/Unemployed,Yes,No,FINISHED,YES,No,-,-,-,-,,00:04.2,01:00.8
2295092,2000,Male,nairobi,5 to 8,Completed Secondary,Student,Yes,No,FINISHED,YES,Yes,Co-operative,Teller or Branch transactions,8,They offer high quality services,service,00:04.2,09:57.5
17402525,1999,Male,riftvalley,13 to 17,In Uni,Other/Unemployed,Yes,Yes,FINISHED,YES,Yes,Equity,ATM,8,Quick service,"service,speed/efficiency",00:04.2,02:52.0
18002523,1978,Female,western,1 to 4,Completed Secondary,Other/Unemployed,No,No,TIMEDOUT,-,-,-,-,-,-,,00:04.2,00:09.2
5579964,1998,Female,riftvalley,1 to 4,Completed Secondary,Farm owner,Yes,No,TIMEDOUT,-,-,-,-,-,-,,00:02.8,00:07.4
2280070,1993,Male,central,NA,Completed College,Skilled worker,Yes,No,TIMEDOUT,-,-,-,-,-,-,,00:02.8,00:07.5
5644198,1998,Male,riftvalley,9 to 12,Completed Secondary,Other/Unemployed,Yes,No,TIMEDOUT,-,-,-,-,-,-,,00:02.8,00:07.5
18001815,1996,Female,western,5 to 8,In College,Other/Unemployed,Yes,No,TIMEDOUT,-,-,-,-,-,-,,00:02.8,00:07.5
2929895,1968,Female,riftvalley,5 to 8,Completed University,Other/Unemployed,Yes,No,FINISHED,YES,Yes,Equity,Teller or Branch transactions,9,Good work with low interest rate,rates/charges,00:02.8,50:20.4
2911396,1996,Male,eastern,9 to 12,Completed Secondary,Student,Yes,No,FINISHED,YES,Yes,KCB,Mobile banking,8,Fast and efficient transactions though high costs,"account,rates/charges,speed/efficiency",00:02.8,06:04.3
2264908,1988,Male,riftvalley,13 to 17,Completed College,Student,Yes,Yes,FINISHED,YES,No,-,-,-,-,,00:02.8,01:39.2
17388754,2000,Male,nairobi,13 to 17,In Uni,Student,Yes,No,FINISHED,YES,Yes,Equity,Teller or Branch transactions,10,Efficiency and polite,speed/efficiency,00:02.8,46:26.3
